step,wall_time_s,metric,value
32768,4.840,train/mean_reward,0.6030760407447815
65536,6.120,train/mean_reward,0.4735721945762634
98304,7.467,train/mean_reward,-0.06816273927688599
131072,8.806,train/mean_reward,-0.6157963275909424
163840,10.157,train/mean_reward,-0.8819240927696228
196608,11.494,train/mean_reward,-0.9871370792388916
229376,12.845,train/mean_reward,-1.1152381896972656
229376,80.840,eval/episode_return,640.1970520019531
262144,82.250,train/mean_reward,0.628092885017395
294912,83.848,train/mean_reward,0.27023905515670776
327680,85.442,train/mean_reward,-0.40257102251052856
360448,86.920,train/mean_reward,-0.8159260749816895
393216,88.563,train/mean_reward,-0.9287940263748169
425984,90.241,train/mean_reward,-0.9299291372299194
458752,91.921,train/mean_reward,-0.9423937797546387
458752,158.693,eval/episode_return,606.3757400512695
491520,159.988,train/mean_reward,0.609011709690094
524288,161.389,train/mean_reward,0.6185288429260254
557056,162.969,train/mean_reward,0.5868387818336487
589824,164.598,train/mean_reward,0.5596287250518799
622592,166.261,train/mean_reward,0.5491662621498108
655360,167.879,train/mean_reward,0.5504475831985474
688128,169.544,train/mean_reward,0.5557252168655396
688128,235.371,eval/episode_return,641.8710403442383
720896,236.644,train/mean_reward,0.6320395469665527
753664,237.966,train/mean_reward,0.6169641613960266
786432,239.507,train/mean_reward,0.6257588863372803
819200,241.020,train/mean_reward,0.6302614808082581
851968,242.417,train/mean_reward,0.6342789530754089
884736,244.119,train/mean_reward,0.6327193379402161
917504,245.818,train/mean_reward,0.6334595084190369
917504,313.831,eval/episode_return,619.4249267578125
950272,315.173,train/mean_reward,0.5748702883720398
983040,316.595,train/mean_reward,0.544586181640625
1015808,318.017,train/mean_reward,0.5815558433532715
1048576,319.525,train/mean_reward,0.5615770220756531
1081344,321.039,train/mean_reward,0.5192065834999084
1114112,322.373,train/mean_reward,0.5070005655288696
1146880,323.832,train/mean_reward,0.5206629037857056
1146880,394.654,eval/episode_return,632.689094543457
1179648,396.109,train/mean_reward,0.584294855594635
1212416,397.582,train/mean_reward,0.6036216020584106
1245184,399.062,train/mean_reward,0.602911114692688
